video_name,state,view,segment_duration,is_overlap,total_frames,actual_fps,flow_mean,flow_std,flow_max,orientation_mean,orientation_std,temporal_grad_mean,temporal_grad_std,temporal_grad_max,dominant_freq,flow_entropy,motion_consistency
angle_evm_segment_1_10s.avi,Bearing_fault,angle,10,False,300,30.0,4.8858013,7.393294,81.61868,0.3767391,1.8145215172499638,2.991667417392055,1.9066912315090951,9.610994201271978,0.00308641975308642,1.2512418323652845,1.5132200159655804
angle_evm_segment_2_10s.avi,Bearing_fault,angle,10,False,300,30.0,1.0653307,2.382315,27.019459,0.012340766,1.336330779785802,0.8540583588892767,0.48199281393992255,2.9492845117845117,0.003109801720912832,0.860370655332554,2.2362188438606716
angle_evm_segment_3_10s.avi,Bearing_fault,angle,10,False,300,30.0,0.54805654,1.2194074,18.718683,-0.011392829,1.4546969535348369,0.5296692147537558,0.2264595051386204,1.4052095024317246,0.00308641975308642,0.7139808991417528,2.224962424271554
angle_evm_segment_4_10s.avi,Bearing_fault,angle,10,False,300,30.0,0.9959859,2.6103814,50.670288,0.06049595,1.522932859126824,0.9743871265610399,0.5942769287077446,2.8239337822671158,0.00308641975308642,0.4935630351953956,2.620899229479839
angle_evm_segment_5_10s.avi,Bearing_fault,angle,10,False,300,30.0,1.0310267,2.3116581,26.590061,0.17437388,1.2772354406698145,0.5018742328524938,0.22467096591306793,1.34710531238309,0.003109801720912832,0.8665043867160155,2.242091164875369
angle_evm_segment_6_10s.avi,Bearing_fault,angle,10,False,300,30.0,0.32712,0.7073096,11.717257,0.21728691,1.5450869928948314,0.4642063518875113,0.22333765546836087,1.3186026936026936,0.00308641975308642,0.7050726795312552,2.1622261809396557
angle_evm_segment_7_10s.avi,Bearing_fault,angle,10,False,300,30.0,0.55919045,1.1206347,15.312456,0.11217097,1.2112097157333057,0.5068947870880238,0.2147664728462019,1.3114945753834644,0.00308641975308642,0.8761482784975451,2.004026833421354
angle_evm_segment_8_10s.avi,Bearing_fault,angle,10,False,300,30.0,1.447394,3.6186666,42.93931,0.06521578,1.3913781773146487,0.9904369315601199,0.42172781925512737,2.2174756827534607,0.003109801720912832,0.7448933443493112,2.500123750151805
angle_evm_segment_9_10s.avi,Bearing_fault,angle,10,False,300,30.0,2.5670056,4.8331876,67.65747,0.07407653,1.4967176764843082,2.1864220052625853,1.4416918142883923,5.731317807706697,0.003109801720912832,0.9071170717293127,1.8828107085947632
front_evm_segment_1_10s.avi,Bearing_fault,front,10,False,300,30.0,0.31117252,0.73290366,13.592556,-0.11700603,1.6473106401646245,0.34702523500832677,0.2136223562885905,1.210016835016835,2.3381967826412273e-05,0.5934175729669562,2.355289327824947
front_evm_segment_2_10s.avi,Bearing_fault,front,10,False,300,30.0,0.12971544,0.36140183,8.064832,0.05207565,1.202394883206864,0.213473612628202,0.1373229504450338,0.7072109988776656,2.3381967826412273e-05,0.41750572831078825,2.7860910979310662
front_evm_segment_3_10s.avi,Bearing_fault,front,10,False,300,30.0,0.10636508,0.26359037,5.1808496,0.05953966,1.2536583771320418,0.21416506199114896,0.14191217853929727,0.7902169846614291,2.3381967826412273e-05,0.5403549670500448,2.4781431504586577
front_evm_segment_4_10s.avi,Bearing_fault,front,10,False,300,30.0,0.10671717,0.27613744,7.531028,0.098278016,1.3664438023322625,0.216624391443232,0.1383455867859546,0.7268284698840254,2.3381967826412273e-05,0.3859496423621342,2.58753915333507
front_evm_segment_5_10s.avi,Bearing_fault,front,10,False,300,30.0,0.099290036,0.22786044,4.516076,-0.045050662,1.2408817554058276,0.21200836871126727,0.14043057159987996,0.7288627010849233,2.3381967826412273e-05,0.5990445328833774,2.2948741980310254
front_evm_segment_6_10s.avi,Bearing_fault,front,10,False,300,30.0,0.102908164,0.24945925,6.7722645,0.006930815,1.1745572229852548,0.211234183154473,0.13424074431836308,0.720679012345679,2.3381967826412273e-05,0.4112475838148118,2.4240722733347546
front_evm_segment_7_10s.avi,Bearing_fault,front,10,False,300,30.0,0.10857138,0.24442446,5.5578012,-0.008949228,1.2860471194372236,0.2131241343197865,0.14091857627182303,0.7834362139917695,2.3381967826412273e-05,0.5427083458725921,2.2512582064620004
