video_name,frame_index,mean_flow,std_flow,edge_ratio,keypoint_count,fft_peak1,fft_peak2,fft_peak3,view,state,filename,class,duration,overlap
angle_evm_segment_10_5s.avi,0,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
angle_evm_segment_10_5s.avi,1,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
angle_evm_segment_10_5s.avi,2,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
angle_evm_segment_10_5s.avi,3,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
angle_evm_segment_10_5s.avi,4,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
angle_evm_segment_10_5s.avi,5,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
angle_evm_segment_10_5s.avi,6,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
angle_evm_segment_10_5s.avi,7,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
angle_evm_segment_10_5s.avi,8,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
angle_evm_segment_10_5s.avi,9,-0.001322887,0.12923911,0.0207535228831525,6418,9445906.0,9445748.0,9445333.0,angle,Bearing_fault,segmented_5_features.csv,Bearing_fault,5,False
