video_name,state,view,segment_duration,is_overlap,total_frames,actual_fps,flow_mean,flow_std,flow_max,orientation_mean,orientation_std,temporal_grad_mean,temporal_grad_std,temporal_grad_max,dominant_freq,flow_entropy,motion_consistency
angle_evm_segment_1_15s.avi,Bearing_fault,angle,15,False,450,30.0,4.546295,7.0235915,81.61868,0.5155185,1.7077768473904276,2.362661247049393,1.817856406722597,9.610994201271978,0.0030864197530864,1.1968436504019355,1.5449040849790427
angle_evm_segment_2_15s.avi,Bearing_fault,angle,15,False,450,30.0,0.6540505,1.3926693,20.462164,0.06556286,1.288747991861875,0.5750328389062613,0.2114496580898447,1.2423073325851104,0.0030864197530864,0.7677382604636819,2.129296023860856
angle_evm_segment_3_15s.avi,Bearing_fault,angle,15,False,450,30.0,0.90336293,2.2934499,50.670288,0.14775167,1.6270159907290815,0.8328502795837615,0.5415445726389044,2.823933782267116,0.0030864197530864,0.4624963368561847,2.538788414041541
angle_evm_segment_4_15s.avi,Bearing_fault,angle,15,False,450,30.0,0.3342562,0.7229046,13.5229025,0.048992332,1.4020167742608638,0.4852627987371862,0.2023543363583669,1.1910774410774412,0.0030864197530864,0.6241441795339846,2.1627196609891763
angle_evm_segment_5_15s.avi,Bearing_fault,angle,15,False,450,30.0,0.6630152,1.4218457,23.942234,0.11075675,1.2612518769506396,0.6282235870209144,0.3479565524876076,2.0901374859708195,0.0030864197530864,0.7038551771210497,2.144511254552973
angle_evm_segment_6_15s.avi,Bearing_fault,angle,15,False,450,30.0,2.9059422,5.2338614,54.510223,0.0030794293,1.3972849438499266,1.8386604642481896,1.2950436555635962,5.69610456416012,0.0031098017209128,1.106583534119021,1.8010886941881636
front_evm_segment_1_15s.avi,Bearing_fault,front,15,False,450,30.0,0.30100703,0.71820724,13.592556,-0.12022731,1.6198271801685111,0.3034936721833529,0.2022630690989195,1.210016835016835,2.338196782641227e-05,0.5718743347348957,2.386006892877903
front_evm_segment_2_15s.avi,Bearing_fault,front,15,False,450,30.0,0.11485508,0.27039582,5.076456,0.13429691,1.220849942342811,0.2288283832301402,0.1298604411670822,0.6906565656565656,2.338196782641227e-05,0.6005498507301403,2.354214190384444
front_evm_segment_3_15s.avi,Bearing_fault,front,15,False,450,30.0,0.10870083,0.2737264,7.531028,0.114686914,1.2941992398985622,0.2162658612021393,0.1403720038621502,0.7288627010849233,2.338196782641227e-05,0.3855937924312165,2.5181398681297096
front_evm_segment_4_15s.avi,Bearing_fault,front,15,False,450,30.0,0.12412215,0.31029385,6.315657,0.07271064,1.240956590285159,0.2251860558900895,0.1265536750936772,0.6079077815188926,2.338196782641227e-05,0.5257825943664015,2.4998870289477364
front_evm_segment_5_15s.avi,Bearing_fault,front,15,False,450,30.0,0.11625439,0.25274476,6.157738,0.011244627,1.2023697005675735,0.2137184244490604,0.1397359970848019,0.7834362139917695,2.338196782641227e-05,0.5242155244740077,2.1740477206412945
front_evm_segment_6_15s.avi,Bearing_fault,front,15,False,450,30.0,0.29462492,0.744793,17.483732,0.041086774,1.1085445358180928,0.3637324432146258,0.2058378678769152,1.2142022072577627,2.338196782641227e-05,0.4939325713492876,2.527927570179872
angle_evm_segment_1_15s.avi,Normal_state,angle,15,False,450,30.0,1.021072,2.635046,36.42334,0.7747389,1.5142660439182791,0.9322128111103613,0.486517825312641,2.733235129068462,0.0030864197530864,0.5866359680315076,2.5806636035377157
angle_evm_segment_2_15s.avi,Normal_state,angle,15,False,450,30.0,0.22630453,0.46866673,12.776552,1.2157427,2.08639258517428,0.4872742728780838,0.2275653962614973,1.3123597081930416,0.0030864197530864,0.4275363731723883,2.0709468745132598
angle_evm_segment_3_15s.avi,Normal_state,angle,15,False,450,30.0,0.19466202,0.3649021,7.7722096,0.7622203,1.9164183773709864,0.4161713230631815,0.2461948098151727,1.384469696969697,0.0030864197530864,0.6128543566228516,1.8745322539330171
angle_evm_segment_4_15s.avi,Normal_state,angle,15,False,450,30.0,0.17332768,0.3926979,14.334926,0.76271737,2.10155648723437,0.4623650303246938,0.2263868617275024,1.1834315375982043,0.0030864197530864,0.241216434256219,2.26562557655973
angle_evm_segment_5_15s.avi,Normal_state,angle,15,False,450,30.0,0.63450223,1.9279145,31.575113,1.44201,2.1849780122187488,0.561717823704337,0.2853937966898219,1.676837822671156,0.0030864197530864,0.4098271239961709,3.038462852163098
angle_evm_segment_6_15s.avi,Normal_state,angle,15,False,450,30.0,0.31922874,0.99411136,41.589672,0.46421093,2.306708842794167,0.763267522207141,0.51293476726427,2.4997895622895623,5.1959928503138385e-08,0.1581334491640967,3.114093829873592
front_evm_segment_1_15s.avi,Normal_state,front,15,False,450,30.0,0.92790353,2.577901,79.68397,0.14796276,1.0584283115291098,0.6278508815783005,0.6026522930613637,2.752548634493079,2.338196782641227e-05,0.2645062782860009,2.7781962420761297
front_evm_segment_2_15s.avi,Normal_state,front,15,False,450,30.0,0.19815788,0.5288744,12.896061,0.042513866,1.364912439898539,0.2753202756760045,0.1303337027317165,0.7293069584736251,2.338196782641227e-05,0.4452208857425688,2.668941235464001
front_evm_segment_3_15s.avi,Normal_state,front,15,False,450,30.0,0.16506614,0.43231794,13.333143,0.08616886,1.2676772444754574,0.2777608011151688,0.1520820669060338,0.8497708567153012,2.338196782641227e-05,0.3586726938054528,2.619043062447167
front_evm_segment_4_15s.avi,Normal_state,front,15,False,450,30.0,0.13959533,0.33010328,5.8944855,-0.07026287,1.4975124236341408,0.2523778263539461,0.1241637392777373,0.7297512158623269,2.338196782641227e-05,0.7000533416677229,2.364698833587271
